molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4210289,COc1cc(-c2ccc(O)cc2)c(OC)c(OC(=O)c2ccco2)c1-c1ccc(O)cc1,35400.0
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,192000.0
CHEMBL404271,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,707900.0
CHEMBL1795466,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)cc1,4790.0
CHEMBL1795467,COc1cc(-c2ccc(O)c(O)c2)c(OC)c(O)c1-c1ccc(O)c(O)c1,14000.0
CHEMBL1795465,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)c(O)c1,11300.0
CHEMBL1951870,COc1cc(-c2ccccc2)c(OC)c(O)c1-c1ccc(O)cc1,108200.0
CHEMBL1795464,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)c(CC=C(C)C)c1,25700.0
CHEMBL4207509,O=C1C=C(c2ccc(O)cc2)C(=O)C(O)=C1c1ccc(O)cc1,22700.0
CHEMBL4206986,COc1cc(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,13200.0
CHEMBL4211872,COc1c(Br)c(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)cc1,7140.0
CHEMBL4211347,COc1c(Cl)c(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)cc1,31300.0
CHEMBL1795466,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(O)cc1,1500.0
CHEMBL4210494,COc1cc(-c2ccc(O)cc2)c(OC)c(OCCC(C)C)c1-c1ccc(O)cc1,3450.0
CHEMBL4238409,CCC1NC(CC)C(O)C(O)C1O,10000.0
CHEMBL4237960,Nc1ccn(C2OC(CO)[C@@H](O)[C@H]2O)c(=O)n1,2500.0
CHEMBL4287862,O=C1NC(=O)/C(=C/c2cc(Cl)ccc2OCN2C(=O)c3ccccc3C2=O)S1,100000.0
CHEMBL4277622,O=C1NC(=O)/C(=C/c2ccc(OCN3C(=O)c4ccccc4C3=O)c([N+](=O)[O-])c2)S1,22480.0
CHEMBL4285567,COc1cc(/C=C2\SC(=O)NC2=O)cc(OC)c1OCN1C(=O)c2ccccc2C1=O,100000.0
CHEMBL4294667,COc1cccc(/C=C2\SC(=O)NC2=O)c1OCN1C(=O)c2ccccc2C1=O,100000.0
CHEMBL4284072,O=C1NC(=O)/C(=C/c2ccc(OCN3C(=O)c4ccccc4C3=O)cc2)S1,25600.0
CHEMBL4279517,O=C1NC(=O)/C(=C/c2ccccc2OCN2C(=O)c3ccccc3C2=O)S1,100000.0
CHEMBL4287437,O=C1NC(=O)/C(=C/c2cccc(OCN3C(=O)c4ccccc4C3=O)c2)S1,100000.0
CHEMBL4287854,CCOc1cc(/C=C2\SC(=O)NC2=O)ccc1OCN1C(=O)c2ccccc2C1=O,29260.0
CHEMBL4277201,COc1cc(/C=C2\SC(=O)NC2=O)ccc1OCN1C(=O)c2ccccc2C1=O,35140.0
CHEMBL4277205,O=C1NC(=O)/C(=C/c2cc([N+](=O)[O-])ccc2OCN2C(=O)c3ccccc3C2=O)S1,50450.0
CHEMBL4291262,O=C1NC(=O)/C(=C/c2ccc(OCN3C(=O)c4ccccc4C3=O)c(Cl)c2)S1,20950.0
CHEMBL4280619,COc1cc(/C=C2\SC(=S)NC2=O)ccc1OCN1C(=O)c2ccccc2C1=O,16110.0
CHEMBL4281051,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1OCN1C(=O)c2ccccc2C1=O,7720.0
CHEMBL4288954,O=C1NC(=S)S/C1=C\c1cccc(OCN2C(=O)c3ccccc3C2=O)c1,33980.0
CHEMBL4284460,O=C1NC(=S)S/C1=C\c1ccccc1OCN1C(=O)c2ccccc2C1=O,100000.0
CHEMBL4292355,O=C1NC(=S)S/C1=C\c1ccc(OCN2C(=O)c3ccccc3C2=O)cc1,7910.0
CHEMBL4292747,COc1cccc(/C=C2\SC(=S)NC2=O)c1OCN1C(=O)c2ccccc2C1=O,100000.0
CHEMBL4282143,COc1cc(/C=C2\SC(=S)NC2=O)cc(OC)c1OCN1C(=O)c2ccccc2C1=O,39810.0
CHEMBL4294091,O=C1NC(=S)S/C1=C\c1ccc(OCN2C(=O)c3ccccc3C2=O)c([N+](=O)[O-])c1,6590.0
CHEMBL4286187,O=C1NC(=S)S/C1=C\c1cc(Cl)ccc1OCN1C(=O)c2ccccc2C1=O,34820.0
CHEMBL4278947,O=C1NC(=S)S/C1=C\c1cc([N+](=O)[O-])ccc1OCN1C(=O)c2ccccc2C1=O,35790.0
CHEMBL4289618,O=C1NC(=S)S/C1=C\c1ccc(OCN2C(=O)c3ccccc3C2=O)c(Cl)c1,5440.0
CHEMBL404271,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,817380.0
CHEMBL4085739,CCCCC[C@H]1NC[C@@H](O)[C@@H](O)[C@H]1CO,100000.0
CHEMBL4281031,C[C@H]1NC[C@@H](O)[C@@H](O)[C@H]1CO,100000.0
CHEMBL4288931,CCCCCCCCC[C@H]1NC[C@@H](O)[C@@H](O)[C@H]1CO,100000.0
CHEMBL4538427,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc(F)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc(F)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4574481,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4552230,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Br)cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Br)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4451108,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc([N+](=O)[O-])cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc([N+](=O)[O-])cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4461780,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5cccc(Cl)c5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3cccc(Cl)c3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4466971,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5cccc(Br)c5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3cccc(Br)c3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4448033,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5Cl)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3Cl)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4448529,Cc1ccc(C(Nc2ccc(-c3ccc(NC(c4ccc(C)cc4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4467305,CN(C)c1ccc(C(Nc2ccc(-c3ccc(NC(c4ccc(N(C)C)cc4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70.0
CHEMBL4461882,COc1cccc(C(Nc2ccc(-c3ccc(NC(c4cccc(OC)c4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)c1,70.0
CHEMBL4464119,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Cl)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Cl)cc2)c(=S)o1,70.0
CHEMBL4449167,O=c1cc(-c2nn(C(Nc3ccc(NC(c4ccc(Cl)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)c3ccc(Cl)cc3)c(=S)o2)c2ccccc2o1,70.0
CHEMBL4549137,O=c1oc2ccccc2cc1-c1nn(C(Nc2ccc(Oc3ccc(NC(c4ccc(Br)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)c2ccc(Br)cc2)c(=S)o1,70.0
